# M(STOP) [GeV],M(NEUTRALINO) [GeV],ACCEPTANCE*EFFICIENCY
250,100,8.6267e-05
250,130,0.00011005
300,150,0.00022511
250,160,9.0506e-05
300,180,0.00024911
350,200,0.00044541
300,210,0.00012116
300,220,0.00011677
350,230,0.00038649
350,260,0.00019848
350,270,0.0001762
400,280,0.00051848
450,300,0.00084334
400,310,0.00028637
400,320,0.00026835
450,330,0.00064203
450,360,0.00034702
450,370,0.00028143
500,380,0.00081238
550,400,0.0010629
500,420,0.00043501
550,430,0.00079195
600,450,0.0011882
550,460,0.00026385
600,480,0.00098838
650,500,0.0014245
600,510,0.00040277
650,530,0.0013803
650,560,0.00044261
